tick,frame,fps,collect_s,learn_s,episodes,success_rate,fail_rate,timeout_rate,critic_loss,actor_loss,q1,target_q,stddev,replay_size,updates
2350,75200,24.6,0.672,31.850,0,0.0000,0.0000,0.0000,0.020755,-0.003996,-0.01134,-0.01132,0.28596,75200,400
2375,76000,24.6,0.680,31.815,0,0.0000,0.0000,0.0000,0.021604,-0.006631,-0.00893,-0.00900,0.28581,76000,400
2400,76800,24.8,0.659,31.659,0,0.0000,0.0000,0.0000,0.020222,0.002875,-0.01771,-0.01772,0.28566,76800,400
2425,77600,24.7,0.701,31.722,0,0.0000,0.0000,0.0000,0.020624,0.002324,-0.01730,-0.01737,0.28551,77600,400
2450,78400,24.8,0.662,31.626,0,0.0000,0.0000,0.0000,0.020512,0.001515,-0.01689,-0.01688,0.28537,78400,400
2475,79200,24.8,0.671,31.610,0,0.0000,0.0000,0.0000,0.020815,0.002900,-0.01758,-0.01765,0.28522,79200,400
2500,80000,24.7,0.853,31.558,2,0.0000,1.0000,0.0000,0.023837,0.003718,-0.01955,-0.01963,0.28507,80000,400
2525,80800,24.6,0.746,31.775,4,0.0000,1.0000,0.0000,0.035417,0.007856,-0.02274,-0.02275,0.28492,80800,400
2550,81600,24.6,0.707,31.798,0,0.0000,0.0000,0.0000,0.051786,0.014943,-0.02984,-0.03038,0.28477,81600,400
2575,82400,24.7,0.680,31.753,0,0.0000,0.0000,0.0000,0.035827,0.019049,-0.03495,-0.03501,0.28462,82400,400
2600,83200,24.7,0.675,31.666,0,0.0000,0.0000,0.0000,0.047139,0.017025,-0.03273,-0.03370,0.28447,83200,400
2625,84000,24.6,0.711,31.826,26,0.0000,0.0000,1.0000,0.035653,0.022437,-0.03988,-0.04021,0.28432,84000,400
2650,84800,24.7,0.675,31.698,0,0.0000,0.0000,0.0000,0.028126,0.017082,-0.03432,-0.03438,0.28417,84800,400
2675,85600,24.8,0.667,31.574,0,0.0000,0.0000,0.0000,0.025725,0.016492,-0.03335,-0.03307,0.28402,85600,400
2700,86400,24.7,0.661,31.723,0,0.0000,0.0000,0.0000,0.025950,0.013463,-0.03044,-0.03074,0.28387,86400,400
2725,87200,24.7,0.687,31.752,0,0.0000,0.0000,0.0000,0.025352,0.007545,-0.02397,-0.02416,0.28372,87200,400
2750,88000,24.8,0.679,31.642,0,0.0000,0.0000,0.0000,0.028620,0.009361,-0.02552,-0.02528,0.28357,88000,400
2775,88800,24.6,0.667,31.835,0,0.0000,0.0000,0.0000,0.027147,0.013118,-0.02892,-0.02904,0.28342,88800,400
2800,89600,24.5,0.671,31.958,0,0.0000,0.0000,0.0000,0.029708,0.014798,-0.03102,-0.03094,0.28327,89600,400
2825,90400,24.6,0.684,31.857,0,0.0000,0.0000,0.0000,0.027168,0.018500,-0.03366,-0.03385,0.28313,90400,400
2850,91200,24.8,0.692,31.604,0,0.0000,0.0000,0.0000,0.024340,0.015566,-0.02991,-0.02984,0.28298,91200,400
2875,92000,24.6,0.718,31.862,2,0.0000,0.0000,1.0000,0.028101,0.024165,-0.03743,-0.03779,0.28283,92000,400
2900,92800,24.5,0.741,31.879,4,0.0000,0.0000,1.0000,0.022649,0.031605,-0.04706,-0.04708,0.28268,92800,400
2925,93600,24.7,0.705,31.698,0,0.0000,0.0000,0.0000,0.023266,0.024830,-0.04053,-0.04051,0.28253,93600,400
2950,94400,24.8,0.683,31.535,0,0.0000,0.0000,0.0000,0.026974,0.024839,-0.03886,-0.03935,0.28238,94400,400
2975,95200,24.8,0.693,31.606,0,0.0000,0.0000,0.0000,0.033205,0.027996,-0.04358,-0.04362,0.28223,95200,400
3000,96000,24.5,0.924,31.765,26,0.0000,0.0000,1.0000,0.026484,0.025534,-0.04135,-0.04146,0.28208,96000,400
3025,96800,24.5,0.699,31.889,0,0.0000,0.0000,0.0000,0.025826,0.026224,-0.04213,-0.04213,0.28193,96800,400
3050,97600,24.5,0.686,31.968,0,0.0000,0.0000,0.0000,0.026076,0.023629,-0.03987,-0.03989,0.28178,97600,400
3075,98400,24.6,0.679,31.878,0,0.0000,0.0000,0.0000,0.033676,0.029647,-0.04505,-0.04536,0.28163,98400,400
3100,99200,24.6,0.711,31.825,0,0.0000,0.0000,0.0000,0.033372,0.022040,-0.03772,-0.03749,0.28148,99200,400
3125,100000,24.4,0.683,32.109,0,0.0000,0.0000,0.0000,0.028648,0.016877,-0.03234,-0.03246,0.28133,100000,400
