frame,tick,px_x,dist,end_d,end_x,a_x,a_y,a_w,reward,done,success,fail,timeout
4000,125,46.1871,6.2316,1.5000,0.0000,0.0607,-0.6058,0.2257,-0.0001,0,0,0,0
4032,126,53.6512,6.3724,1.5000,0.0000,-0.6610,0.9719,0.6251,0.0127,0,0,0,0
4064,127,64.2281,6.5474,1.5000,0.0000,-0.3932,0.9388,0.9957,0.0223,0,0,0,0
4096,128,72.1726,6.6871,1.5000,0.0000,-1.0000,1.0000,0.7384,0.0150,0,0,0,0
4128,129,80.8825,6.8175,1.5000,0.0000,-0.4276,-0.4741,1.0000,0.0196,0,0,0,0
4160,130,89.7399,6.9314,1.5000,0.0000,-0.8911,0.8803,0.9192,0.0223,0,0,0,0
4192,131,90.3600,6.9200,1.5000,0.0000,0.4085,0.1055,0.0687,0.0012,0,0,0,0
4224,132,98.0287,6.9592,1.5000,0.0000,0.2826,0.3026,0.8751,0.0263,0,0,0,0
4256,133,105.6355,7.0022,1.5000,0.0000,-0.3617,0.3714,0.8646,0.0256,0,0,0,0
4288,134,113.5029,6.9877,1.5000,0.0000,0.5824,-0.6590,1.0000,0.0205,0,0,0,0
4320,135,121.1421,6.9481,1.5000,0.0000,0.5864,-1.0000,1.0000,-0.0322,0,0,0,0
4352,136,114.1902,6.9583,1.5000,0.0000,0.1047,-0.3517,-0.7958,0.0268,0,0,0,0
4384,137,119.9416,6.9554,1.5000,0.0000,-0.2237,-0.9590,0.7726,-0.0283,0,0,0,0
4416,138,111.4918,6.9645,1.5000,0.0000,0.0221,-1.0000,-0.9153,0.0290,0,0,0,0
4448,139,103.1528,6.9299,1.5000,0.0000,0.4881,-0.4292,-0.9533,-0.0359,0,0,0,0
4480,140,94.2328,6.8730,1.5000,0.0000,0.3242,-0.5545,-1.0000,-0.0357,0,0,0,0
4512,141,101.9099,6.9076,1.5000,0.0000,0.2961,-1.0000,1.0000,0.0270,0,0,0,0
4544,142,106.1375,6.9082,1.5000,0.0000,0.3784,-0.8366,0.5817,0.0158,0,0,0,0
4576,143,113.9574,6.8941,1.5000,0.0000,0.5338,-0.7141,1.0000,0.0162,0,0,0,0
4608,144,107.2610,6.8772,1.5000,0.0000,0.3254,-0.5912,-0.7440,-0.0133,0,0,0,0
4640,145,114.9992,6.8626,1.5000,0.0000,0.4612,-0.8209,1.0000,0.0066,0,0,0,0
4672,146,106.9051,6.8722,1.5000,0.0000,-0.3134,0.3877,-1.0000,-0.0136,0,0,0,0
4704,147,111.3954,6.8423,1.5000,0.0000,0.8384,0.9421,0.4505,0.0208,0,0,0,0
4736,148,103.5292,6.8607,1.5000,0.0000,-0.8068,0.6810,-1.0000,-0.0404,0,0,0,0
4768,149,111.4964,6.8517,1.5000,0.0000,0.6047,-0.5155,1.0000,0.0337,0,0,0,0
4800,150,103.8787,6.8470,1.5000,0.0000,-0.1993,1.0000,-1.0000,-0.0364,0,0,0,0
4832,151,112.8392,6.8173,1.5000,0.0000,1.0000,0.9895,0.9807,0.0332,0,0,0,0
4864,152,106.5437,6.7985,1.5000,0.0000,0.3411,1.0000,-0.8441,-0.0213,0,0,0,0
4896,153,115.6080,6.7604,1.5000,0.0000,1.0000,0.8951,1.0000,0.0100,0,0,0,0
4928,154,107.7946,6.7380,1.5000,0.0000,0.5584,0.7118,-1.0000,-0.0029,0,0,0,0
4960,155,114.4332,6.6996,1.5000,0.0000,1.0000,0.5851,0.7388,0.0097,0,0,0,0
4992,156,106.2576,6.7131,1.5000,0.0000,-0.4740,-0.4773,-0.9284,-0.0195,0,0,0,0
5024,157,112.4943,6.6795,1.5000,0.0000,0.9735,0.5355,0.6962,0.0246,0,0,0,0
5056,158,112.3725,6.6395,1.5000,0.0000,1.0000,-0.0459,-0.0105,0.0025,0,0,0,0
5088,159,117.2712,6.6522,1.5000,0.0000,-0.4450,0.3904,0.5466,-0.0265,0,0,0,0
5120,160,108.2422,6.6637,1.5000,0.0000,-0.2531,-0.7882,-1.0000,0.0023,0,0,0,0
