phase,checkpoint,frame,episode,t,env_id,px_x,dist,end_d,end_x,a_x,a_y,a_w,reward,done,success,fail,timeout,robot_x,robot_y,head_yaw,target_x,target_y
offline_val,drqv2_062400.pt,1996800,0,1,50,146.7038,3.9917,1.5000,0.0000,1.0000,0.9999,-0.9983,0.9970,0,0,0,0,0.0400,0.0400,-0.0627,3.9588,-1.2460
offline_val,drqv2_062400.pt,1996800,0,1,51,187.2302,2.8413,1.5000,0.0000,0.9997,-0.9994,-0.9986,0.9970,0,0,0,0,0.0400,-0.0400,-0.0627,2.7753,-1.8164
offline_val,drqv2_062400.pt,1996800,0,1,52,133.5818,6.4453,1.5000,0.0000,1.0000,1.0000,0.9998,0.9970,0,0,0,0,0.0400,0.0400,0.0628,6.5380,-0.5954
offline_val,drqv2_062400.pt,1996800,0,1,53,34.6887,5.6656,1.5000,0.0000,1.0000,1.0000,-0.9809,0.9970,0,0,0,0,0.0400,0.0400,-0.0616,5.8970,2.9664
offline_val,drqv2_062400.pt,1996800,0,1,54,18.1942,3.7266,1.5000,0.0000,0.9660,1.0000,1.0000,0.9970,0,0,0,0,0.0386,0.0400,0.0628,3.5934,2.8878
offline_val,drqv2_062400.pt,1996800,0,1,55,38.8230,3.8445,1.5000,0.0000,1.0000,1.0000,1.0000,0.9970,0,0,0,0,0.0400,0.0400,0.0628,3.7445,2.3849
offline_val,drqv2_062400.pt,1996800,0,1,56,200.0503,2.1532,1.5000,0.0000,0.6433,-0.9999,-1.0000,0.9970,0,0,0,0,0.0257,-0.0400,-0.0628,2.0855,-1.5928
offline_val,drqv2_062400.pt,1996800,0,1,57,17.8797,3.2192,1.5000,0.0000,0.9434,1.0000,0.9983,0.9970,0,0,0,0,0.0377,0.0400,0.0627,3.1083,2.5073
offline_val,drqv2_062400.pt,1996800,0,1,58,13.1176,2.7055,1.5000,0.0000,-0.7737,0.9915,1.0000,0.9970,0,0,0,0,-0.0309,0.0397,0.0628,2.5434,2.2099
offline_val,drqv2_062400.pt,1996800,0,1,59,145.2010,3.9261,1.5000,0.0000,1.0000,-0.9999,-0.9999,0.9970,0,0,0,0,0.0400,-0.0400,-0.0628,3.8970,-1.2612
offline_val,drqv2_062400.pt,1996800,0,1,60,-1.0000,0.0000,1.5000,0.0000,-0.4945,0.5142,-0.8124,-0.0173,0,0,0,0,-0.0198,0.0206,-0.0510,2.5998,2.4482
offline_val,drqv2_062400.pt,1996800,0,1,61,145.8066,2.6262,1.5000,0.0000,1.0000,1.0000,-1.0000,0.9970,0,0,0,0,0.0400,0.0400,-0.0628,2.6192,-0.7887
offline_val,drqv2_062400.pt,1996800,0,1,62,112.7555,4.6647,1.5000,0.0000,1.0000,1.0000,-0.8356,0.9970,0,0,0,0,0.0400,0.0400,-0.0525,4.6969,-0.2312
