tick,frame,fps,collect_s,learn_s,episodes,success_rate,fail_rate,timeout_rate,critic_loss,actor_loss,q1,target_q,stddev,replay_size,updates
2975,95200,25.5,0.674,30.727,0,0.0000,0.0000,0.0000,0.063337,-0.408538,0.36502,0.36500,0.28223,95200,400
3000,96000,25.4,0.706,30.736,29,0.0000,0.0000,1.0000,0.060343,-0.409049,0.36573,0.36624,0.28208,96000,400
3025,96800,25.5,0.666,30.693,0,0.0000,0.0000,0.0000,0.069787,-0.416314,0.37317,0.37329,0.28193,96800,400
3050,97600,25.5,0.662,30.690,0,0.0000,0.0000,0.0000,0.065757,-0.410877,0.37123,0.37142,0.28178,97600,400
3075,98400,25.5,0.671,30.694,0,0.0000,0.0000,0.0000,0.060785,-0.412591,0.37045,0.37056,0.28163,98400,400
3100,99200,25.5,0.697,30.729,1,0.0000,0.0000,1.0000,0.065292,-0.423521,0.38116,0.38159,0.28148,99200,400
3125,100000,25.4,0.670,30.802,0,0.0000,0.0000,0.0000,0.075701,-0.430419,0.38812,0.38810,0.28133,100000,400
3150,100800,25.4,0.658,30.780,0,0.0000,0.0000,0.0000,0.068242,-0.426351,0.38467,0.38478,0.28118,100800,400
3175,101600,25.5,0.683,30.746,0,0.0000,0.0000,0.0000,0.073692,-0.414715,0.37496,0.37512,0.28103,101600,400
3200,102400,25.4,0.682,30.758,0,0.0000,0.0000,0.0000,0.065433,-0.401338,0.36394,0.36380,0.28089,102400,400
3225,103200,25.5,0.681,30.721,0,0.0000,0.0000,0.0000,0.070757,-0.393482,0.35264,0.35270,0.28074,103200,400
3250,104000,25.5,0.703,30.702,1,0.0000,0.0000,1.0000,0.068037,-0.382318,0.34447,0.34445,0.28059,104000,400
3275,104800,25.5,0.671,30.681,0,0.0000,0.0000,0.0000,0.074119,-0.372993,0.33566,0.33550,0.28044,104800,400
3300,105600,25.5,0.671,30.704,0,0.0000,0.0000,0.0000,0.081129,-0.369780,0.32843,0.32851,0.28029,105600,400
3325,106400,25.5,0.687,30.718,1,0.0000,0.0000,1.0000,0.067506,-0.375794,0.33388,0.33407,0.28014,106400,400
3350,107200,25.5,0.665,30.686,0,0.0000,0.0000,0.0000,0.062573,-0.364140,0.32750,0.32784,0.27999,107200,400
3375,108000,25.5,0.682,30.692,29,0.0000,0.0000,1.0000,0.066393,-0.362901,0.32293,0.32275,0.27984,108000,400
3400,108800,25.5,0.661,30.693,0,0.0000,0.0000,0.0000,0.067120,-0.365201,0.32352,0.32369,0.27969,108800,400
3425,109600,25.5,0.662,30.694,0,0.0000,0.0000,0.0000,0.062031,-0.359484,0.32139,0.32151,0.27954,109600,400
3450,110400,25.5,0.667,30.714,0,0.0000,0.0000,0.0000,0.068620,-0.355536,0.31555,0.31549,0.27939,110400,400
3475,111200,25.5,0.677,30.656,1,0.0000,0.0000,1.0000,0.076239,-0.354245,0.31894,0.31888,0.27924,111200,400
3500,112000,25.5,0.658,30.684,0,0.0000,0.0000,0.0000,0.071201,-0.356053,0.31761,0.31763,0.27909,112000,400
3525,112800,25.5,0.671,30.732,0,0.0000,0.0000,0.0000,0.060468,-0.354099,0.31521,0.31543,0.27894,112800,400
3550,113600,25.5,0.664,30.732,0,0.0000,0.0000,0.0000,0.072700,-0.348896,0.31038,0.31043,0.27879,113600,400
3575,114400,25.4,0.708,30.729,2,1.0000,0.0000,0.0000,0.073961,-0.364638,0.32500,0.32515,0.27865,114400,400
