frame,tick,px_x,dist,end_d,end_x,a_x,a_y,a_w,reward,done,success,fail,timeout
7104,222,30.8969,3.4213,1.5000,0.0000,-0.1521,1.0000,0.8859,0.0362,0,0,0,0
7136,223,21.5884,3.3016,1.5000,0.0000,-0.0265,0.7993,-0.8969,-0.0296,0,0,0,0
7168,224,32.3457,3.3942,1.5000,0.0000,0.3857,1.0000,0.8139,0.0335,0,0,0,0
7200,225,21.0030,3.2311,1.5000,0.0000,0.7780,0.7490,-1.0000,-0.0333,0,0,0,0
7232,226,31.0244,3.3128,1.5000,0.0000,0.6387,0.6559,0.8146,0.0315,0,0,0,0
7264,227,20.0178,3.1517,1.5000,0.0000,0.7726,1.0000,-1.0000,-0.0320,0,0,0,0
7296,228,31.3316,3.2623,1.5000,0.0000,0.4908,-0.0163,1.0000,0.0337,0,0,0,0
7328,229,20.1244,3.0946,1.5000,0.0000,1.0000,1.0000,-1.0000,-0.0321,0,0,0,0
7360,230,30.2321,3.2094,1.5000,0.0000,0.3757,-0.8399,1.0000,0.0278,0,0,0,0
7392,231,23.0310,3.0990,1.5000,0.0000,0.6257,0.8673,-0.6799,-0.0213,0,0,0,0
7424,232,33.8681,3.1953,1.5000,0.0000,0.6857,-0.0430,1.0000,0.0333,0,0,0,0
7456,233,21.5022,3.0322,1.5000,0.0000,1.0000,0.2252,-1.0000,-0.0378,0,0,0,0
7488,234,32.5437,3.1504,1.5000,0.0000,0.1436,-0.3417,1.0000,0.0315,0,0,0,0
7520,235,22.3651,2.9997,1.5000,0.0000,0.9480,1.0000,-0.9322,-0.0296,0,0,0,0
7552,236,32.5989,3.0585,1.5000,0.0000,1.0000,0.9604,0.8282,0.0353,0,0,0,0
7584,237,21.5696,2.9009,1.5000,0.0000,1.0000,1.0000,-0.9995,-0.0325,0,0,0,0
7616,238,33.5408,3.0306,1.5000,0.0000,-0.4883,0.2114,0.9382,0.0342,0,0,0,0
7648,239,23.5603,2.9046,1.5000,0.0000,0.6110,0.4932,-0.8768,-0.0318,0,0,0,0
7680,240,35.8653,2.9905,1.5000,0.0000,0.6776,0.8591,1.0000,0.0412,0,0,0,0
7712,241,24.7849,2.8396,1.5000,0.0000,1.0000,0.8077,-1.0000,-0.0336,0,0,0,0
7744,242,34.6983,2.8953,1.5000,0.0000,0.7881,0.9105,0.7937,0.0343,0,0,0,0
7776,243,24.2538,2.7588,1.5000,0.0000,0.7024,1.0000,-1.0000,-0.0326,0,0,0,0
7808,244,35.0029,2.8118,1.5000,0.0000,1.0000,1.0000,0.8721,0.0384,0,0,0,0
7840,245,25.9896,2.6834,1.5000,0.0000,1.0000,0.9625,-0.8495,-0.0272,0,0,0,0
7872,246,37.8567,2.7892,1.5000,0.0000,-0.5853,1.0000,0.8096,0.0368,0,0,0,0
7904,247,27.6150,2.6614,1.5000,0.0000,0.6844,0.9299,-1.0000,-0.0328,0,0,0,0
7936,248,33.8889,2.6789,1.5000,0.0000,0.6930,1.0000,0.4484,0.0228,0,0,0,0
7968,249,23.4959,2.5506,1.5000,0.0000,0.6797,1.0000,-1.0000,-0.0334,0,0,0,0
8000,250,34.7272,2.6938,1.5000,0.0000,-1.0000,-0.8594,1.0000,0.0292,0,0,0,0
8032,251,25.5188,2.5762,1.5000,0.0000,0.7310,0.8876,-0.8812,-0.0294,0,0,0,0
